station_code,entity,water_body,uf,latitude,longitude,parameters,first_year,last_year,years
BG049,IGAM,Rio Sapucaí,MG,-21.57953,-45.68136,6,1997,2021,24
BG050,IGAM,Rio Dourado (GD5),MG,-21.96353,-45.91192,6,2008,2021,13
BG051,IGAM,Rio Grande,MG,-20.68472,-46.36222,6,1997,2021,24
BG052,IGAM,Rio Sapucaí-Mirim,MG,-22.22817,-45.90167,6,2008,2021,13
BG053,IGAM,Ribeirão da Bocaina,MG,-20.69422,-46.6,6,1997,2021,24
BG055,IGAM,Rio São João (GD7),MG,-20.61667,-46.83267,6,1997,2021,24
BG056,IGAM,Ribeirão São Pedro (GD7),MG,-20.61,-46.91,5,2017,2021,4
BG057,IGAM,Córrego Gameleiras,MG,-20.00861,-47.87508,6,1997,2021,24
BG058,IGAM,Rio Uberaba,MG,-19.66111,-47.82417,6,2000,2021,21
BG059,IGAM,Rio Uberaba,MG,-19.90906,-48.39075,6,1997,2021,24
BG061,IGAM,Rio Grande,MG,-20.16786,-48.68833,6,1997,2021,24
BG063,IGAM,Rio Lambari (GD6),MG,-21.73444,-46.60217,6,1997,2021,24
BG065,IGAM,Ribeirão São Pedro (GD3),MG,-21.15128,-45.56567,6,2008,2021,13
BG067,IGAM,Ribeirão da Espera,MG,-21.45706,-45.51572,6,2008,2021,13
BG068,IGAM,Rio do Peixe (GD3),MG,-21.59,-46.29,5,2017,2021,4
BG069,IGAM,Rio do Machado,MG,-21.66483,-45.89292,6,2008,2021,13
BG070,IGAM,Ribeirão Buriti,MG,-19.9,-47.26,6,2018,2021,3
BG071,IGAM,Córrego Liso,MG,-20.89183,-46.95069,6,2008,2021,13
BG072,IGAM,Rio São João (GD7),MG,-20.84,-46.71,5,2017,2021,4
BG073,IGAM,Rio Santana (GD7),MG,-20.82464,-46.82494,6,2008,2021,13
BG074,IGAM,Rio Santana (GD7),MG,-20.7,-46.84,5,2017,2021,4
BG075,IGAM,Rio Pardo (GD6),MG,-21.74836,-46.40517,6,2008,2021,13
BG076,IGAM,Ribeirão São Francisco,MG,-19.9,-47.26,1,2018,2020,2
BG077,IGAM,Rio Mogi-Guaçu,MG,-22.31469,-46.32983,6,2008,2021,13
BG078,IGAM,Rio das Canoas,MG,-19.6,-46.71,5,2017,2021,4
BG079,IGAM,Ribeirão do Ouro Fino,MG,-22.28525,-46.38244,6,2008,2021,13
BG080,IGAM,Rio Grande,MG,-19.69,-48.79,6,2018,2021,3
BG081,IGAM,Rio Eleutério,MG,-22.31706,-46.69822,6,2008,2021,13
BG082,IGAM,Rio Verde ou Feio,MG,-18.44,-48.54,5,2018,2021,3
BG083,IGAM,Rio das Antas,MG,-22.45242,-46.36689,6,2008,2021,13
BG084,IGAM,Rio Verde ou Feio,MG,-19.87,-49.72,6,2018,2021,3
BG086,IGAM,Córrego Santa Rosa,MG,-19.76328,-50.2,6,2008,2021,13
BG087,IGAM,Ribeirão da Tronqueira,MG,-19.74164,-50.23353,6,2008,2021,13
BG088,IGAM,Rio São João (GD7),MG,-21.01,-46.53,5,2017,2021,4
BG089,IGAM,Rio Muzambinho,MG,-21.35342,-46.52028,6,2008,2021,13
BG090,IGAM,Rio Muzambo,MG,-21.28,-46.36,5,2017,2021,4
BG091,IGAM,Ribeirão da Pirapetinga,MG,-22.08608,-46.58472,6,2008,2021,13
BG093,IGAM,Rio Mogi-Guaçu,MG,-22.26556,-46.69167,6,2011,2021,10
BG094,IGAM,Ribeirão Santa Bárbara,MG,-21.33,-46.83,5,2017,2021,4
BG095,IGAM,Rio Canoas,MG,-21.42889,-47.01444,6,2011,2021,10
BG096,IGAM,Ribeirão das Antas,MG,-21.93,-46.59,6,2013,2021,8
BG097,IGAM,Rio Jaguari-Mirim,MG,-22.09,-46.63,6,2013,2021,8
BG098,IGAM,Rio Jaguari-Mirim,MG,-22.09,-46.55,6,2013,2021,8
BG099,IGAM,Ribeirão Ouro Fino,MG,-22.26,-46.37,6,2013,2021,8
BG100,IGAM,Ribeirão Conquista,MG,-20.72,-46.39,6,2013,2021,8
BV131,IGAM,Lagoa Central,MG,-19.63,-45.89,5,2020,2021,2
PA004,IGAM,Rio Itapecerica,MG,-20.21717,-44.91783,6,2000,2021,21
PA022,IGAM,Ribeirão Diamante,MG,-20.04744,-45.20281,6,2006,2021,15
PA031,IGAM,Rio Itapecerica,MG,-20.38947,-44.96853,6,2008,2021,13
PA032,IGAM,Ribeirão Boa Vista,MG,-20.45567,-44.89208,6,2008,2021,13
PA040,IGAM,Rio Lambari (SF2),MG,-20.28286,-45.14803,6,2008,2021,13
PB001,IGAM,Rio Paranaíba,MG,-19.16306,-46.27778,6,1997,2021,24
PB002,IGAM,Rio Paranaíba,MG,-18.83861,-46.56286,6,2010,2021,11
PB003,IGAM,Rio Paranaíba,MG,-18.6025,-46.53972,6,1997,2021,24
PB005,IGAM,Rio Paranaíba,MG,-18.07064,-47.30161,4,1997,2021,24
PB007,IGAM,Rio Paranaíba,MG,-18.42417,-48.06833,6,1997,2021,24
PB009,IGAM,Rio Jordão,MG,-18.59167,-48.12875,6,1997,2021,24
PB011,IGAM,Rio Quebra Anzol,MG,-19.303,-46.83778,6,1997,2021,24
PB012,IGAM,Rio Capivara,MG,-18.43,-46.95,5,2020,2021,2
PB013,IGAM,Rio Capivara,MG,-19.36025,-47.04639,6,1997,2021,24
PB015,IGAM,Ribeirão Santo Antônio (PN2),MG,-19.05333,-47.10628,6,1997,2021,24
PB016,IGAM,Córredo do Indaiá,MG,-18.88,-46.27,5,2018,2021,3
PB017,IGAM,Rio Araguari,MG,-19.486,-47.54389,6,1997,2021,24
PB019,IGAM,Rio Araguari,MG,-18.87278,-48.0775,6,1997,2021,24
PB020,IGAM,Rio da Prata (PN3),MG,-18.48,-47.15,5,2018,2021,3
PB021,IGAM,Rio Araguari,MG,-18.59517,-48.53094,6,1997,2021,24
PB022,IGAM,Rio Uberabinha,MG,-18.98556,-48.21167,6,2000,2021,21
PB023,IGAM,Rio Uberabinha,MG,-18.76864,-48.43656,6,1997,2021,24
PB024,IGAM,Rio Cocal,MG,-18.56,-47.11,5,2018,2021,3
PB025,IGAM,Rio Paranaíba,MG,-18.42,-49.19611,6,1997,2021,24
PB026,IGAM,Rio Douradinho,MG,-18.78,-48.95,5,2018,2021,3
PB027,IGAM,Rio Tijuco,MG,-18.94178,-49.44972,6,1997,2021,24
PB028,IGAM,Córrego São Lourenço,MG,-17.02,-48.58,1,2018,2021,3
